name	Escherichia coli	Klebsiella pneumoniae	Salmonella enterica	Shigella flexneri	unclassified	other
26141_1#134	91.88829066870848	0.4384642190396801	0.10712983408216413	5.127840254459634	1.3178182382680703	1.1204567854419878
26141_1#135	91.37076972439175	0.439730012976601	0.13378716531217982	5.676278622452954	1.3447411256049533	1.034693349261559
26141_1#136	92.04584071215457	0.44223289812606575	0.1102718537202623	4.87120568220782	1.3005816763918194	1.2298671773994698
26141_1#137	95.05353114213057	0.012356406597523935	0.06473162682057701	0.059868782933809525	4.178777273778111	0.6307347677394262
26141_1#138	90.32791389111495	0.1767439812886169	6.944456899496426	0.6152614514691843	1.0721218163868085	0.8635019602440082
26141_1#139	98.57283590382514	0.013890711630530931	0.01337939709198378	0.02190130606776963	0.7804364240024679	0.5975562573820952
26141_1#140	95.94946612881311	0.043259417512724045	0.05622162564830562	0.8929087351227428	1.4730846775767854	1.5850594153263273
26141_1#141	96.81820468437472	0.019838837784200206	0.17968318793118473	0.3649637622371974	1.6890644783483886	0.9282450493243033
26141_1#142	97.31403744711965	0.16957617381312998	0.07703556692954511	0.09833459549798923	1.5559715621246148	0.7850446545150902
26141_1#143	97.53881364447668	0.118803257999666	0.07370593586456146	0.1189441871313382	1.388574734366203	0.7611582401615493
26141_1#144	78.26547307227868	8.250120376229289	0.11251921187812967	3.811703846745304	8.691709964294688	0.8684735285739151
26141_1#145	92.0317059361526	0.4519917171805156	0.1259843766703224	4.896761702649948	1.2614274797977598	1.2321287875488451
26141_1#146	74.26504215748845	0.04566927618687201	0.2897305063709282	22.063135208638677	2.1379250626188635	1.1984977886962014
26141_1#147	57.96786737909526	0.04067334415692442	0.18184176235766875	37.97410078976906	2.9479007733367557	0.8876159512843316
26141_1#148	95.55850837533852	0.06256793386991627	0.07350772598827586	0.2784209081818769	2.2874401590172355	1.7395548976041795
26141_1#149	96.19689288099109	0.5602554229983009	0.11806697555515692	0.48509088974481573	1.7252374810468742	0.9144563496637801
26141_1#150	96.0405221072263	0.012836525373900688	0.02154175522516667	0.04618198209230937	0.7850199224349266	3.0938977076474004
26141_1#151	98.42443665181466	0.013227342066254606	0.036015752039095426	0.039538250741521924	1.046254002349291	0.44052800098918965
26141_1#152	97.31943330507524	0.03306696453121686	0.13512461531978898	0.3771633686595167	1.223834782304389	0.9113769641098486
26141_1#153	98.63747415899266	0.014015461602413206	0.019191626398758994	0.05717671267348115	0.7746727867515664	0.4974692535811158
26141_1#154	94.04728740391751	1.1155857363705315	1.6463748478020723	0.5118456231999042	1.788562441823062	0.8903439468869152
26141_1#155	95.4573602264685	0.06272261088487464	0.0718590836842899	0.342182659844767	2.262654739944079	1.8032206791734922
26141_1#156	98.53805184705976	0.014612872692506239	0.05947953206497515	0.043618323514315105	0.8070858480569651	0.5371515766114783
26141_1#157	97.60231344518373	0.015584996934492893	0.062271331363810814	0.42820980564067035	0.9793831774032649	0.9122372434740242
26141_1#158	97.63529525187573	0.012881597058783022	0.31094068875225933	0.1822867508318352	1.260128054417051	0.5984676570643472
26141_1#159	95.00235838943442	0.01776449184364797	0.10115040398904727	0.8457276397116027	2.04146171139439	1.9915373636268896
