"Study ID",Sample,"Lane Name",Cycles,Reads,Bases,"Map Type",Reference,"Reference Size",Mapper,"Mapstats ID","Mapped %","Paired %","Mean Insert Size","Depth of Coverage","Depth of Coverage sd","Adapter %","Transposon %","Genome Covered","Duplication Rate","Error Rate","NPG QC","Manual QC","No. Het SNPs","% Het SNPs (Total Genome)","% Het SNPs (Genome Covered)","% Het SNPs (Total No. of SNPs)","QC Pipeline","Mapping Pipeline","Archiving Pipeline","SNP Calling Pipeline","RNASeq Pipeline","Assembly Pipeline","Annotation Pipeline"
5341,DASSIM7486811,26141_1#134,151,2474060,373583060,QC,Escherichia_coli_K_12_substr_MG1655_TMP32XR1_GCF_001308125_1,4641684,bwa,2168709,79.6,78.9,460.7,64.05,32.34,0.1,NA,89.33,0.0346,0.012,pass,pending,237,0.01,0.01,1.28,Done,Done,Done,Done,-,Done,Done
5341,DASSIM7486812,26141_1#135,151,2387830,360562330,QC,Escherichia_coli_K_12_substr_MG1655_TMP32XR1_GCF_001308125_1,4641684,bwa,2168712,79.9,79.2,459.6,62.04,31.44,0.1,NA,89.44,0.0334,0.012,pass,pending,254,0.01,0.01,1.39,Done,Done,Done,Done,-,Done,Done
5341,DASSIM7486813,26141_1#136,151,2619482,395541782,QC,Escherichia_coli_K_12_substr_MG1655_TMP32XR1_GCF_001308125_1,4641684,bwa,2168715,80.1,79.3,462,68.19,34.41,0.1,NA,89.37,0.0339,0.012,pass,pending,245,0.01,0.01,1.29,Done,Done,Done,Done,-,Done,Done
5341,DASSIM7486814,26141_1#137,151,2509172,378884972,QC,Escherichia_coli_K_12_substr_MG1655_TMP32XR1_GCF_001308125_1,4641684,bwa,2168718,53.5,52.9,454.4,43.62,26.67,0.1,NA,86.43,0.0341,0.026,pass,pending,105,0.00,0.00,0.36,Done,Done,Done,Done,-,Done,Done
5341,DASSIM7486815,26141_1#138,151,2453782,370521082,QC,Escherichia_coli_K_12_substr_MG1655_TMP32XR1_GCF_001308125_1,4641684,bwa,2168721,89.9,89.3,457,71.76,28.65,0.1,NA,93.42,0.0342,0.007,pass,pending,95,0.00,0.00,1.62,Done,Done,Done,Done,-,Done,Done
5341,DASSIM7486816,26141_1#139,151,2347318,354445018,QC,Escherichia_coli_K_12_substr_MG1655_TMP32XR1_GCF_001308125_1,4641684,bwa,2168724,68.0,67.3,453.3,51.90,29.55,0.1,NA,86.55,0.0328,0.026,pass,pending,62,0.00,0.00,0.18,Done,Done,Done,Done,-,Done,Done
5341,DASSIM7486817,26141_1#140,151,2561834,386836934,QC,Escherichia_coli_K_12_substr_MG1655_TMP32XR1_GCF_001308125_1,4641684,bwa,2168727,81.3,80.7,453,67.74,31.47,0.1,NA,91.54,0.0331,0.009,pass,pending,119,0.00,0.00,1.15,Done,Done,Done,Done,-,Done,Done
5341,DASSIM7486818,26141_1#141,151,2823256,426311656,QC,Escherichia_coli_K_12_substr_MG1655_TMP32XR1_GCF_001308125_1,4641684,bwa,2168730,82.7,82.2,442.7,75.88,30.52,0.1,NA,93.99,0.0268,0.007,pass,pending,234,0.01,0.01,4.13,Done,Done,Done,Done,-,Done,Done
5341,DASSIM7486819,26141_1#142,151,2451232,370136032,QC,Escherichia_coli_K_12_substr_MG1655_TMP32XR1_GCF_001308125_1,4641684,bwa,2168733,67.8,67.1,462.8,54.03,31.44,0.1,NA,85.12,0.0302,0.026,pass,pending,91,0.00,0.00,0.26,Done,Done,Done,Done,-,Done,Done
5341,DASSIM7486820,26141_1#143,151,2838706,428644606,QC,Escherichia_coli_K_12_substr_MG1655_TMP32XR1_GCF_001308125_1,4641684,bwa,2168736,68.2,67.5,440.8,62.92,37.04,0.1,NA,84.88,0.0273,0.025,pass,pending,87,0.00,0.00,0.28,Done,Done,Done,Done,-,Done,Done
