"","Aac3_IIa","Aac3_IId","Aac6Ib_cr","AadA16","AadA1","AadA1_pm","AadA17","AadA2","AadA24","AadA5","AmpC1","AmpC2","AMPH","Aph3","Arr2","Arr3","CARB_2","Cat_pC221","CatA1","CatA2","CatB3","CatB4","CmlA1","CmlA5","CMY_42","CMY_94","CTX_M_1","CTX_M_15","CTX_M_3","CTX_M_55","CTX_M_14","CTX_M_16","CTX_M_27","CTX_M_65","CTX_M_9","DfrA12","DfrA1","DfrA15","DfrA16","DfrA27","DfrA14","DfrA30","DfrA5","DfrA17","DfrA8","ErmB","FloR","FosA","LAP_2","MefB","MphA","MrdA","NDM_5","OXA_1","OXA_10","QepA","Qnr_S1","QnrS2","QnrB1","QnrB19","QnrB6","RmtB","Sat_2A","SHV_12","StrA","StrB","SulI","SulII","SulIII","TEM_135","TEM_33","TEM_90","TetA","TetB","TetD","TEM_1","GyrA","GyrB","ParC","ParE"
"OXA_1",2.48397252085365e-29,1.84740658123308e-06,1.15803471450386e-103,0.521786648511124,3.70342035601111e-08,0.393234672304439,0.00029544267538348,9.17237650367736e-13,0.154127996560003,2.16540654263957e-30,4.99227584314593e-06,1,1,0.647836922077444,0.393234672304439,1,1,1,0.00151521816757517,1,8.09191815292393e-08,1.76695695098774e-81,7.19475779758546e-06,0.393234672304439,1,4.05105649735272e-18,0.521786648511124,4.81000423559619e-44,0.00123021378979924,1,0.00391075257840793,0.0459027357188173,1.98096329154673e-15,1,0.00701261636588621,4.48876455682609e-11,0.00679992024191761,0.393234672304439,1,0.521786648511124,5.95652964805633e-11,1,1,5.44706797051097e-30,0.000616874916080473,0.0136958955938871,0.0369933074086156,1.25344959908278e-05,0.393234672304439,1,1.22007864806959e-19,1,1,NA,0.39323467230444,1.12976706031003e-06,3.16290335711183e-12,1,0.521786648511126,0.521786648511126,0.521786648511126,1,0.0162243053802665,2.89897933673535e-06,1.14547960894987e-05,0.0779533671273318,2.63750781498162e-07,0.00253790283292113,7.01724319379248e-06,1,1,0.521786648511126,7.73234726691447e-09,8.37558812041605e-14,0.0459027357188172,0.000492498355608429,4.78161299642432e-24,0.521786648511126,6.4063041170286e-44,4.81732291742436e-48
"OXA_10",0.169133192389006,1,1,1,1,0.00211416490486258,1,0.219873150105708,1,0.473572938689218,1,1,1,1,0.00211416490486258,1,1,1,1,0.00422832980972516,1,0.306553911205074,1,0.00211416490486258,1,1,1,1,1,1,1,1,1,1,1,0.186046511627907,1,1,1,1,0.217758985200846,1,1,0.45877378435518,1,1,1,1,0.00211416490486258,1,1,1,1,0.39323467230444,NA,0.0993657505285418,0.120507399577167,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.408033826638477,0.446088794926001,1,1,1,1,1,0.471458773784355
"QepA",0.0126153608930192,0.238838369769963,1.46842248697764e-06,1,0.000218198556411907,0.0993657505285418,2.85883095837237e-37,1.36306644146067e-27,1,4.50071873714868e-10,2.1220553622591e-06,1,1,0.342973557076176,0.0993657505285418,1,1,1,1.07473743406644e-09,0.00968395026337478,0.396527054337107,4.15190495097229e-05,0.341779928842496,0.0993657505285418,1,0.0145778831262564,1,6.99956013440226e-09,0.379651485971891,1,0.396527054337107,1,2.96078573327621e-22,1,0.387781749276204,1.2297299139794e-31,0.00297735891103643,1,1,1,0.461963238933751,1,1,1.1056437438825e-10,1,1.92676626411408e-06,1,0.096815285027851,0.0993657505285418,1,3.50723684059131e-06,1,1,1.12976706031003e-06,0.0993657505285418,NA,0.0302266475255272,1,1,1,1,1,0.00762629824484278,0.0951812555573874,0.281937479501482,1,1.0428991882928e-08,1,0.343163227649822,1,1,1,3.12455639161568e-08,4.17066890718561e-05,0.521710210671513,0.0831175616508252,2.1412759449401e-06,1,9.77594951886272e-11,1.73028624471862e-15
"Qnr_S1",0.000259090501921556,3.04287417668319e-08,1.07646004233505e-12,1,0.11666493052779,0.120507399577167,0.00121774238987114,6.63315527088221e-05,1,1.94024366303101e-17,0.740521869812127,1,1,1,0.120507399577167,1,0.120507399577167,1,9.95946810895894e-06,0.226717311068907,0.244425538388587,7.33896165542253e-09,0.234019391238053,0.120507399577167,1,0.00561653087683184,1,3.43677345857115e-08,0.680653725710842,1,0.244425538388587,1,1.73266165086507e-05,1,0.237735937562367,8.88458680470167e-05,0.332688968974356,1,0.120507399577167,1,3.03784925606567e-26,1,1,8.76544783338097e-17,0.0587639896009182,0.608295070110134,1,0.036650793142657,0.120507399577167,1,1.92856809725481e-25,1,1,3.16290335711183e-12,0.120507399577167,0.0302266475255272,NA,1,1,0.0142974880854266,1,1,0.0428520518926925,0.346283273894752,0.235817655855824,0.809188115305082,9.57749389826929e-24,0.291633593741188,0.156407512658263,1,0.120507399577167,1,0.0309933294555395,3.82950527053319e-19,1,0.310770501433826,1.47178436159737e-28,0.226717311068907,2.76843985309405e-24,1.7962243036687e-14
"QnrS2",1,1,1,1,0.209302325581395,1,1,0.219873150105708,1,0.473572938689218,1,1,1,1,1,1,1,1,1,1,1,1,0.0613107822410148,1,1,1,1,0.325581395348837,0.0295983086680761,1,1,1,1,1,1,0.186046511627907,1,1,1,1,1,1,1,0.45877378435518,1,1,1,0.0591966173361522,1,1,0.315010570824524,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,0.0782241014799161,0.0634249471458769,1,1,1,0.408033826638477,0.446088794926001,1,0.389006342494716,0.236786469344608,1,0.369978858350954,1
"QnrB1",1,0.0859193034005806,0.536209553158706,1,1,1,1,1,1,0.223743146880711,0.056688286093095,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0470580857849285,1,1,0.209947325043896,1,1,1,1,1,1,0.0987745010212492,1,1,0.521786648511126,1,1,1,1,NA,1,1,1,1,1,1,1,0.12566739527717,1,1,1,1,8.95832586806179e-06,0.515892070089942,0.198471709606909,1,0.150822374314688,0.0556849535958716,1,0.136390511341241,0.500573332855556
"QnrB19",1,1,0.536209553158706,1,1,1,1,1,1,0.223743146880711,0.056688286093095,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0470580857849285,1,1,0.209947325043896,1,1,1,1,1,1,0.0987745010212492,1,1,0.521786648511126,1,1,0.0142974880854266,1,1,NA,1,1,1,1,1,1,0.12566739527717,1,1,1,1,1,1,0.198471709606909,1,0.523632063639949,0.0556849535958716,1,0.136390511341241,0.500573332855556
"QnrB6",1,0.501818540151217,0.131741140215717,8.95832586806179e-06,1,1,1,1,1,0.223743146880711,0.421112982405848,1,1,1,1,0.00422832980972516,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8.95832586806179e-06,1,1,1,1,1,1,1,1,1,1,0.0987745010212492,1,1,0.521786648511126,1,1,1,1,1,1,NA,1,1,1,0.281542265381448,0.181406098828249,0.540975382520512,0.1504819579317,1,1,1,1,0.165979861683448,1,1,1,1,1,0.532823305980579,0.500573332855556
"RmtB",1,1,1,1,0.209302325581395,1,1,0.219873150105708,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0613107822410148,1,1,1,1,0.325581395348837,1,1,1,1,1,0.00211416490486258,1,0.186046511627907,1,1,1,1,0.217758985200846,1,1,1,1,1,1,0.0591966173361522,1,0.00211416490486258,1,1,1,1,1,1,1,1,1,1,1,NA,1,0.0549682875264274,0.152219873150105,1,1,1,0.0634249471458769,1,1,1,1,1,1,1,1,0.00422832980972516,0.369978858350954,0.471458773784355
"Sat_2A",2.0505702269903e-06,0.475068343417674,2.41682846535869e-12,1,2.69573394914215e-41,1,0.0131436789577173,0.0403010414471564,0.0210162324864729,1.27968965808926e-20,0.000350265941008797,1,1,0.468950587739262,1,1,1,1,0.0413235304666907,1,0.151124877127104,1.35003371754931e-12,0.0134655352009453,1,1,0.0119414675579619,1,0.00816561978563809,0.239008224087986,1,0.151124877127104,0.600626380835339,0.000208708197635976,1,7.30719793932161e-07,0.00399253716101871,1.73030871370456e-76,1,1,1,0.011018648549138,1,0.270738524384563,1.12933124756728e-21,0.0386305771576201,0.369051134751958,0.59933946262106,0.0227116412441199,1,1,0.00296190541360928,1,1,0.0162243053802665,1,0.00762629824484278,0.0428520518926925,1,1,1,1,1,NA,0.781455907427634,0.144901263800787,0.0446476958375279,5.77642898257225e-08,0.00318491026777583,0.0135815349134977,1,1,1,3.68605430748335e-09,4.02249461197958e-07,0.000959459302653986,0.141653439064289,0.065006296104872,0.270738524384563,6.82519041695768e-10,0.013379765364706
